# ----------------------------------------,,,,,
# Creatrip GA4,,,,,
# 자유 양식-자유 형식 6,,,,,
# 20260202-20260303,,,,,
# ----------------------------------------,,,,,
,,,,,
,,,,,
,날짜,활성 사용자,활성 사용자,활성 사용자,
,세그먼트,모바일 웹 사용자,모바일 앱 사용자,데스크탑 웹 사용자,
,20260202,96,36,40,
,20260203,95,50,39,
,20260204,107,53,50,
,20260205,104,58,46,
,20260206,80,46,36,
,20260207,79,52,20,
,20260208,117,66,30,
,20260209,85,43,35,
,20260210,83,50,40,
,20260211,107,54,37,
,20260212,96,43,39,
,20260213,91,44,30,
,20260214,105,51,21,
,20260215,89,35,27,
,20260216,90,43,28,
,20260217,81,46,13,
,20260218,98,38,33,
,20260219,85,44,27,
,20260220,109,51,25,
,20260221,119,54,32,
,20260222,142,80,22,
,20260223,126,61,52,
,20260224,99,47,63,
,20260225,110,53,39,
,20260226,125,61,53,
,20260227,126,63,42,
,20260228,132,60,31,
,20260301,152,98,36,
,20260302,167,66,39,
,20260303,140,65,55,
,,2931,1359,984,총 합계